Name,Link
"Malton, Thomas Jr.",https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=9909
Man Ray,https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=5317
"Mandel, Eduard",https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=4801
"Mandel, Johann August Eduard",https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=4801
"Mandelman, Beatrice",https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=33744
"Mander I, Karel van",https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=2639
"Mandevare, Alphonse Nicolas-Michel",https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=24066
"Manessier, Alfred",https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=36420
"Manet, Edouard",https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=1506
"Manet, Mme. Eugene",https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=1733
"Manetto, Lina",https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=8272
"Mangelsdorf, Hans",https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=7804
"Mangiacotti, Matthew",https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=7805
